Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
38,9.40E+01,9.40E+01,9.80E+01,1.09E+02,5.18E+00,4.60E+02,8.76E-02,8.29342E-10,9.78E-27,-3.76E+03,-2.84E+03,3.21E+03
37,1.77E+02,1.77E+02,1.76E+02,-2.07E+02,1.11E+01,8.53E+02,0.192728875,4.07849E-11,1.07E-26,3.74E+03,-3.91E+03,2.85E+03
34,8.82E+01,8.82E+01,9.19E+01,1.04E+02,6.63E+00,3.89E+02,8.92E-02,1.13379E-09,8.05E-27,3.23E+03,1.04E+03,1.73E+03
39,1.78E+02,1.78E+02,1.76E+02,2.25E+02,1.51E+01,1.24E+03,0.207171235,2.26145E-11,1.03E-26,2.07E+03,1.02E+03,-1.58E+03
38,9.45E+01,9.45E+01,9.90E+01,1.12E+02,5.26E+00,4.22E+02,1.00E-01,1.20245E-09,1.06E-26,-3.78E+03,-2.85E+03,3.20E+03
39,9.53E+01,9.53E+01,9.99E+01,1.11E+02,7.15E+00,3.71E+02,5.69E-02,7.62249E-10,1.86E-26,-3.82E+03,-2.78E+03,3.08E+03
39,1.81E+02,1.81E+02,1.87E+02,-2.59E+02,3.37E+01,2.83E+02,0.152977269,2.14496E-09,1.52E-26,3.19E+03,-3.72E+03,-3.62E+03
36,8.95E+01,8.95E+01,9.31E+01,1.05E+02,5.15E+00,4.49E+02,0.113263407,1.09841E-09,6.60E-27,-3.70E+03,-1.99E+03,-1.40E+03
39,1.85E+02,1.85E+02,1.84E+02,-4.13E+02,6.43E+00,1.28E+03,0.144959681,1.94658E-11,1.42E-26,-3.84E+03,1.90E+03,2.61E+03
39,9.51E+01,9.51E+01,9.92E+01,1.14E+02,8.26E+00,3.60E+02,0.167260785,1.64374E-09,6.84E-27,-3.81E+03,-2.80E+03,3.05E+03
37,1.80E+02,1.80E+02,1.78E+02,-1.55E+03,2.25E+01,7.82E+02,0.131286858,2.56149E-11,1.56E-26,2.53E+03,-3.93E+03,2.99E+03
40,9.67E+01,9.67E+01,1.01E+02,1.13E+02,6.25E+00,3.85E+02,5.94E-02,8.56613E-10,1.89E-26,-3.72E+03,-2.78E+03,3.24E+03
