M1 (MSOFT),M2 (MSOFT),M3 (MSOFT),At (Yd),Ab (Yb),Atau (Ye),mu (HMIX),MA (HMIX),tanbeta (HMIX),M_eL (MSOFT),M_muL (MSOFT),M_tauL (MSOFT),M_eR (MSOFT),M_muR (MSOFT),M_tauR (MSOFT),M_q1L (MSOFT),M_q2L (MSOFT),M_q3L (MSOFT),M_uR (MSOFT),M_cR (MSOFT),M_tR (MSOFT),M_dR (MSOFT),M_sR (MSOFT),M_bR (MSOFT),~d_L (MASS),~d_R (MASS),~u_L (MASS),~u_R (MASS),~s_L (MASS),~s_R (MASS),~c_L (MASS),~c_R (MASS),~b_1 (MASS),~b_2 (MASS),~t_1 (MASS),~t_2 (MASS),~e_L (MASS),~e_R (MASS),~nu_eL (MASS),~mu_L (MASS),~mu_R (MASS),~nu_muL (MASS),~tau_1 (MASS),~tau_2 (MASS),~nu_tauL (MASS),~g (MASS),~chi_1+ (MASS),~chi_2+ (MASS),~chi_10 (MASS),Omega h^2,sigma_v,n_{11},n_{12},n_{13},n_{114,stopdecay,stopdecayBR,sigma_{SI proton} (pb),sigma_{SD proton} (pb),sigma_{SI neutron} (pb),sigma_{SD neutron} (pb),sigmav_micromegas,sigmav_darksusy_rescaled,lowest_squark_mass,lowest_chargino_mass,lowest_smuon_mass,h_0 (MASS),Filename,~chi_20 (MASS),~chi_30 (MASS),~chi_40 (MASS),M2_Hd (MSOFT),M2_Hu (MSOFT),alpha (ALPHA)
Bino mass (GeV),Wino mass (GeV),Gluino mass (Gev),Trilinear coupling top (GeV),Trilinear coupling bottom (GeV),Trilinear coupling tau (GeV),Higgsino mass (GeV),Pseudoscalar Higgs mass (GeV),tan eta,Left handed selectron mass (GeV),Left handed smuon mass (GeV),Left handed stau mass (GeV),Right handed selectron mass (GeV),Right handed smuon mass (GeV),Right handed stau mass (GeV),Left handed 1st generation squark mass (GeV),Left handed 2nd generation squark mass (GeV),Left handed 3rd generation squark mass (GeV),Right handed u squark mass (GeV),Right handed c squark mass (GeV),Right handed t squark mass (GeV),Right handed d squark mass (GeV),Right handed s squark mass (GeV),Right handed b squark mass (GeV),Left handed d squark particle mass (GeV),Right handed d squark particle mass (GeV),Left handed u squark particle mass (GeV),Right handed u squark particle mass (GeV),Left handed s squark particle mass (GeV),Right handed s squark particle mass (GeV),Left handed c squark particle mass (GeV),Right handed c squark particle mass (GeV),Sbottom 1 particle mass (GeV),Sbottom 2 particle mass (GeV),Stop 1 particle mass (GeV),Stop 2 particle mass (GeV),Left handed selectron mass (GeV),Right handed selectron mass (GeV),Left handed selectron-sneutrino mass (GeV),Left handed smuon mass (GeV),Right handed smuon mass (GeV),Left handed smuon-sneutrino mass (GeV),Stau 1 mass (GeV),Stau 2 mass (GeV),Left handed stau-sneutrino mass (GeV),Gluino mass (GeV),Chargino_1 mass (GeV),Chargino_2 mass (GeV),Neutralino_1 mass (GeV),Relic density,sigma_v (Km/s),Neutralino bino component,Neutralino wino component,Neutralino higgsino_u component,Neutralino higgsino_d component,remove,remove,Spin independent cross section (proton) (pb),Spin dependent cross section (proton) (pb),Spin independent cross section (neutron) (pb),Spin dependent cross section (neutron) (pb),remove,remove,remove,remove,remove,Higgs mass (GeV),Filename of the model definition,Neutralino_2 mass (GeV),Neutralino_3 mass (GeV),Neutralino_4 mass (GeV),Squared down-type Higgs mass parameter (GeV),Squared up-type Higgs mass parameter (GeV),Higgs mixing angle
Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Model parameter,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Particle,Observable,Observable,Other,Other,Other,Other,remove,remove,Observable,Observable,Observable,Observable,remove,remove,remove,remove,remove,Particle,Other,Particle,Particle,Particle,Model parameter,Model parameter,Model parameter
171.8753372,-206.7295582,3482.615874,-3455.908319,4041.668058,4707.682815,1875.324664,4587.289885,40.4845848,3441.603757,3449.594155,2185.746574,3450.590362,2443.909335,3030.760049,2705.447652,3495.927129,2952.572587,2846.320257,2402.797422,514.6649841,2129.739462,3441.36592,2989.030344,2.69E+03,2.08E+03,2.68E+03,2.83E+03,2.69E+03,2.08E+03,2.68E+03,2.83E+03,2.92E+03,2.99E+03,2.19E+02,2.97E+03,3.44E+03,3.45E+03,3.44E+03,3.44E+03,3.45E+03,3.44E+03,2.19E+03,3.03E+03,2.18E+03,3.41E+03,2.26E+02,1.89E+03,173.53544,0.246238259,3.97E-27,1,0.001,0.024,-0.003,BR(~t_1 -> ~chi_10 c ),0.966467584,2.35E-13,2.45E-09,2.63E-13,6.81E-11,4.39E-27,3.97E-27,2081.79384,225.872051,3441.9034,123.273136,0.01001-0.01001-ok-1497514169692.model,-2.26E+02,1.89E+03,-1.89E+03,1.72E+07,-3.77E+06,-2.52E-02
204.5427499,762.8231294,3891.698838,4275.922758,3107.579881,3429.214929,-317.9566608,491.6381978,7.459767634,2282.03706,2618.272674,2106.938067,2827.051454,3074.926701,722.4227875,3430.069232,3468.867684,2063.585022,3412.83043,3466.088485,2701.522185,3005.355252,3480.207359,1156.600806,3.50E+03,3.08E+03,3.50E+03,3.48E+03,3.50E+03,3.08E+03,3.50E+03,3.48E+03,1.20E+03,2.13E+03,2.07E+03,2.70E+03,2.28E+03,2.83E+03,2.28E+03,2.28E+03,2.83E+03,2.28E+03,7.24E+02,2.11E+03,2.11E+03,3.91E+03,3.23E+02,8.06E+02,200.316254,0.208209754,1.04E-26,0.975,-0.01,-0.197,-0.103,BR(~t_1 -> ~chi_20 t ),0.28415554,5.98E-11,1.70E-05,5.28E-11,6.93E-08,1.04E-26,1.04E-26,3076.36204,323.180127,2282.4624,126.346737,0.01001-0.01001-ok-1497514183816.model,3.26E+02,-3.30E+02,8.06E+02,1.27E+05,2.69E+04,-1.56E-01
201.6496802,313.4950476,2753.685056,3268.592888,2819.161329,1954.2627,-268.9389876,479.6099667,8.187509458,2820.1259,3401.44964,805.8193172,3056.706913,3470.732418,805.8098409,2929.214592,2415.953495,2677.602667,2501.763157,2471.179891,1015.461509,2504.706683,2050.374692,1371.414983,2.97E+03,2.55E+03,2.97E+03,2.55E+03,2.97E+03,2.55E+03,2.97E+03,2.55E+03,1.41E+03,2.73E+03,1.02E+03,2.73E+03,2.82E+03,3.06E+03,2.82E+03,2.82E+03,3.06E+03,2.82E+03,8.03E+02,8.11E+02,8.03E+02,2.83E+03,2.54E+02,3.67E+02,194.421714,0.06589959,3.46E-26,0.922,-0.089,-0.317,-0.203,BR(~t_1 -> ~chi_1+ b ),0.311225659,5.29E-10,7.43E-05,4.90E-10,3.01E-07,3.45E-26,1.08E-26,2551.00299,253.820668,2820.47623,126.307123,0.01002-0.01002-ok-1497513750244.model,2.58E+02,-2.82E+02,3.67E+02,1.58E+05,-9.44E+04,-1.41E-01
211.0327034,706.7232048,4168.603019,4345.953623,1865.345966,1806.304316,-288.5197567,593.034548,5.576006264,3489.779989,3495.618579,754.5776351,3404.627382,2295.225161,1500.08947,3492.485078,2714.015497,2340.027443,2542.850398,1736.764333,1981.775662,3342.230338,2607.013176,1478.562957,3.54E+03,3.39E+03,3.54E+03,2.58E+03,3.54E+03,3.39E+03,3.54E+03,2.58E+03,1.47E+03,2.37E+03,1.86E+03,2.37E+03,3.49E+03,3.40E+03,3.49E+03,3.49E+03,3.40E+03,3.49E+03,7.56E+02,1.50E+03,7.52E+02,4.12E+03,2.94E+02,7.53E+02,206.767432,0.160513434,1.51E-26,0.958,-0.014,-0.247,-0.147,BR(~t_1 -> ~chi_1+ b ),0.393872693,3.17E-10,3.35E-05,3.10E-10,1.36E-07,1.47E-26,1.51E-26,2577.41966,294.072242,3404.8926,127.157055,0.01003-0.01003-ok-1499932292594.model,2.97E+02,-3.01E+02,7.53E+02,2.50E+05,5.10E+04,-2.00E-01
206.9333732,919.4637577,2123.005367,4311.083912,2288.766419,1506.795053,-272.8862721,643.7936325,3.21215847,2844.160991,3453.487206,1849.446847,1508.454691,3493.008021,1028.190544,3060.281478,3433.483982,2316.552915,1190.128994,1257.832859,788.4048193,2356.26081,2650.07115,1367.362843,3.08E+03,2.39E+03,3.08E+03,1.23E+03,3.08E+03,2.39E+03,3.08E+03,1.23E+03,1.41E+03,2.35E+03,7.82E+02,2.35E+03,2.84E+03,1.51E+03,2.84E+03,2.84E+03,1.51E+03,2.84E+03,1.03E+03,1.85E+03,1.85E+03,2.21E+03,2.80E+02,9.65E+02,206.204454,0.192601896,1.25E-26,0.96,-0.005,-0.246,-0.135,BR(~t_1 -> ~chi_1+ b ),0.481590668,9.71E-11,3.59E-05,9.52E-11,1.56E-07,1.20E-26,1.25E-26,1230.51442,279.659167,1508.96864,123.305747,0.01004-0.01004-ok-1499932750132.model,2.81E+02,-2.85E+02,9.65E+02,2.94E+05,-1.75E+05,-3.32E-01
91.13250587,101.7100322,2266.578979,1527.967343,2074.269923,1221.363609,-281.3100248,874.9663813,21.50410816,3492.381577,3101.965622,1197.557858,3464.348307,3416.99028,973.9662053,3470.888049,2213.443769,854.2953446,2434.923502,3413.398499,1229.955535,2088.536395,3462.150408,1017.455601,3.48E+03,2.11E+03,3.48E+03,2.45E+03,3.48E+03,2.11E+03,3.48E+03,2.45E+03,8.24E+02,1.00E+03,7.83E+02,1.23E+03,3.49E+03,3.46E+03,3.49E+03,3.49E+03,3.46E+03,3.49E+03,9.75E+02,1.20E+03,1.20E+03,2.32E+03,1.06E+02,3.07E+02,90.294161,0.150436558,2.47E-27,0.961,-0.169,-0.213,-0.058,BR(~t_1 -> ~chi_1+ b ),0.299231272,3.03E-12,3.69E-05,6.00E-12,1.51E-07,2.50E-27,2.47E-27,2105.6057,105.977709,3464.62529,123.184057,0.01005-0.01005-ok-1497514119058.model,1.06E+02,-2.95E+02,3.04E+02,7.07E+05,-6.81E+04,-4.92E-02
207.9413106,-211.5838732,4032.420192,3173.273199,5215.482915,6121.874902,1815.626228,-3976.365327,19.45598173,3390.867919,3427.947193,2756.724516,2316.562389,2150.272837,3424.769394,2893.697519,3492.492991,3401.321003,3472.352787,2183.109881,629.0752118,3123.925316,2439.649551,2506.759395,2.87E+03,3.11E+03,2.87E+03,3.46E+03,2.87E+03,3.11E+03,2.87E+03,3.46E+03,2.46E+03,3.39E+03,2.98E+02,3.40E+03,3.39E+03,2.32E+03,3.39E+03,3.39E+03,2.32E+03,3.39E+03,2.76E+03,3.43E+03,2.76E+03,3.95E+03,2.32E+02,1.83E+03,209.167185,0.119382577,7.45E-27,1,0.001,0.025,-0.004,BR(~t_1 -> ~chi_1+ b ),1,1.72E-12,4.02E-09,1.78E-12,5.17E-11,7.12E-27,7.45E-27,2867.38338,231.713725,2316.98186,124.53891,0.01006-0.01006-ok-1497514220692.model,-2.32E+02,-1.82E+03,1.82E+03,1.24E+07,-3.45E+06,-5.34E-02
207.3932545,716.178611,3538.441442,4438.810476,5283.340652,945.667206,-302.016244,465.5234024,5.404457365,1312.14482,2491.397166,2429.741896,3201.706904,2160.943104,491.9583525,3437.650082,1776.488545,3044.221388,3458.292591,2185.907255,1218.597978,1750.764134,2625.163434,1503.825259,3.49E+03,1.78E+03,3.49E+03,3.51E+03,3.49E+03,1.78E+03,3.49E+03,3.51E+03,1.53E+03,3.09E+03,1.18E+03,3.09E+03,1.31E+03,3.20E+03,1.31E+03,1.31E+03,3.20E+03,1.31E+03,4.94E+02,2.43E+03,2.43E+03,3.57E+03,3.07E+02,7.56E+02,203.199275,0.071238487,2.11E-26,0.97,-0.01,-0.215,-0.115,BR(~t_1 -> ~chi_1+ b ),0.455517774,6.10E-11,2.31E-05,5.46E-11,9.46E-08,2.05E-26,7.69E-27,1781.04023,307.306228,1312.85878,127.179613,0.01012-0.01012-ok-1499932417780.model,3.09E+02,-3.14E+02,7.56E+02,1.06E+05,-1.13E+05,-2.15E-01
