chisq_1502,m_{\chi_1^0} (GeV),m_1 (GeV),m_2 (GeV),tan \beta,\mu (GeV),\Omega_{\chi}h^2,\sigma_{SI},\sigma_v (Km/s),A_t (GeV),m_A (Ge V),m_Q3 (GeV
37.7430007556,93.980321200000006,97.9646721111,108.982228927,5.1839080591,459.642777443,8.7571175023020545E-002,8.2934201002382E-46,9.7799332490844071E-027,-3.75502764E+03,-2.84268974E+03,3.20626282E+03
37.2947476134,177.01028700000001,176.071896682,-206.606028556,11.1100766667,852.653028489,0.19272887491243981,4.0784890921851E-47,1.0677549797473240E-026,3.73764637E+03,-3.91469851E+03,2.8484974E+03
33.6252716938,88.228102699999994,91.9214987806,103.57265847,6.6316444093,388.712836979,8.9245446889834601E-002,1.1337930887122E-45,8.0537512062301909E-027,3.23143827E+03,1.04442054E+03,1.72656172E+03
38.5863384353,178.01059200000000,175.892922712,225.375797891,15.0674052211,1237.29561943,0.20717123527993972,2.261448637781E-47,1.0300984132621283E-026,2.07273332E+03,1.01989692E+03,-1.57867504E+03
38.1574313499,94.537441799999996,99.004974787,111.908634298,5.2620796323,421.612398455,9.9994878318478475E-002,1.2024465081436E-45,1.0609148144331886E-026,-3.78222506E+03,-2.85012253E+03,3.2047159E+03
39.3683117391,95.268734300000006,99.8803167771,110.760727381,7.15252844314,371.127811358,5.6861675906414236E-002,7.6224856035206E-46,1.8615973641314053E-026,-3.81523038E+03,-2.77501806E+03,3.07580197E+03
38.6893589842,181.33270800000000,186.591624459,-259.215404126,33.7333597509,283.404011952,0.15297726901808356,2.1449580493208E-45,1.5199436912649297E-026,3.18868846E+03,-3.7242245E+03,-3.62308496E+03
35.8008084393,89.486722099999994,93.1059429398,105.212825723,5.15117850368,448.711718268,0.11326340746557394,1.0984081694981E-45,6.5960959592135742E-027,-3.69679923E+03,-1.99354096E+03,-1.39796446E+03
39.3344175811,185.17180800000000,183.961674974,-413.374347732,6.43089454888,1283.69070417,0.14495968106889781,1.9465799169519E-47,1.4214673724354124E-026,-3.84410061E+03,1.89794577E+03,2.6092787E+03
39.2212122606,95.077908500000007,99.2105987978,114.406865106,8.25862948409,359.674431104,0.16726078534945901,1.6437407162237E-45,6.8381093242925805E-027,-3.80907376E+03,-2.79530753E+03,3.05399061E+03
